Dolosigranulum pigrum
Donghicola eburneus
Duganella zoogloeoides
Dyadobacter crusticola
Dyadobacter fermentans
Dyadobacter ginsengisoli
Dyadobacter hamtensis
Dyella ginsengisoli
Dyella japonica
Dyella koreensis
Dysgonomonas capnocytophagoides
Dysgonomonas gadei
Dysgonomonas mossii
Echinicola vietnamensis
Ectothiorhodospira shaposhnikovii
Eggerthella lenta
Eggerthella sinensis
Eikenella corrodens
Elizabethkingia meningoseptica
Elizabethkingia miricola
Empedobacter brevis
Endozoicomonas elysicola
Ensifer adhaerens
Enterobacter aerogenes
Enterobacter asburiae
Enterobacter cancerogenus
Enterobacter mori
Enterococcus casseliflavus
Enterococcus faecalis
Enterococcus faecium
Erythrobacter aquimaris
Erythrobacter citreus
Erythrobacter flavus
Erythrobacter litoralis
Erythrobacter longus
Erythrobacter seohaensis
Erythrobacter vulgaris
Erythromicrobium ramosum
Escherichia coli
Ethanoligenens harbinense
[Eubacterium] angustum
[Eubacterium] contortum
Eubacterium desmolans
[Eubacterium] siraeum
Exiguobacterium aurantiacum
Exiguobacterium undae
Facklamia hominis
Faecalibacterium prausnitzii
Ferrimonas balearica
Ferrimonas marina
Ferroplasma acidiphilum
Filobacillus milosensis
Filobasidium uniguttulatum
Filomicrobium fusiforme
Finegoldia magna
Flagellimonas eckloniae
Flammeovirga aprica
Flammeovirga arenaria
Flammeovirga kamogawensis
Flammeovirga yaeyamensis
Flavihumibacter petaseus
Flavisolibacter ginsengisoli
Flavisolibacter ginsengiterrae
Flavobacterium aquatile
Flavobacterium croceum
Flavobacterium cucumis
Flavobacterium daejeonense
Flavobacterium filum
Flavobacterium flevense
Flavobacterium frigidimaris
Flavobacterium frigoris
Flavobacterium gillisiae
Flavobacterium granuli
Flavobacterium hydatis
Flavobacterium johnsoniae
Flavobacterium lindanitolerans
Flavobacterium micromati
Flavobacterium pectinovorum
Flavobacterium psychrophilum
Flavobacterium resistens
Flavobacterium saliperosum
Flavobacterium succinicans
Flavobacterium tegetincola
Flavobacterium terrigena
Flavobacterium xanthum
Flavobacterium xinjiangense
Flectobacillus major
Flectobacillus roseus
Flexibacter elegans
Flexibacter flexilis
Flexibacter polymorphus
Flexibacter roseolus
Flexibacter ruber
Flexistipes sinusarabici
Flexithrix dorotheae
Fodinicurvata sediminis
Formivibrio citricus
Formosa algae
Frateuria aurantia
Friedmanniella antarctica
Friedmanniella spumicola
Frigoribacterium faeni
Frondihabitans australicus
Fructobacillus durionis
Fructobacillus ficulneus
Fructobacillus fructosus
Fructobacillus pseudoficulneus
Fulvimarina pelagi
Fulvimonas soli
Fusobacterium nucleatum
Fusobacterium perfoetens
Gaetbulibacter saemankumensis
Gallibacterium anatis
Gelidibacter algens
Geobacillus caldoxylosilyticus
Geobacillus stearothermophilus
Geodermatophilus obscurus
Georgenia muralis
Geosporobacter subterraneus
Geotoga subterranea
Geovibrio ferrireducens
Giesbergeria voronezhensis
Gillisia hiemivivida
Gillisia illustrilutea
Gillisia limnaea
Gillisia mitskevichiae
Gillisia sandarakina
Gilvibacter sediminis
Glaciecola pallidula
Glaciecola punicea
Gluconacetobacter diazotrophicus
Gluconacetobacter liquefaciens
Gluconobacter frateurii
Gluconobacter oxydans
Goodfellowiella coeruleoviolacea
Gordonia amarae
Gordonia bronchialis
Gordonia hydrophobica
Gordonia terrae
Gordonibacter pamelaeae
Gracilibacillus boraciitolerans
Gracilibacillus dipsosauri
Gracilibacillus halotolerans
Gracilibacillus orientalis
Gramella echinicola
Gramella portivictoriae
Gulbenkiania mobilis
Gulosibacter molinativorax
Haemophilus influenzae
Hahella chejuensis
Halalkalibacillus halophilus
Haliea salexigens
Haliscomenobacter hydrossis
Haloarcula amylolytica
Haloarcula vallismortis
Halobacillus aidingensis
Halobacillus dabanensis
Halobacillus faecis
Halobacillus halophilus
Halobacillus karajensis
Halobacillus kuroshimensis
Halobacillus litoralis
Halobacillus locisalis
Halobacillus profundi
Halobacillus salinus
Halobacillus trueperi
Halobacillus yeomjeoni
Halobacterium salinarum
Halobellus clavatus
Halobiforma haloterrestris
Halobiforma nitratireducens
Halochromatium glycolicum
Halochromatium roseum
Halochromatium salexigens
Halococcus dombrowskii
Halococcus hamelinensis
Halococcus morrhuae
Halococcus saccharolyticus
Halococcus salifodinae
Haloferax alexandrinus
Haloferax denitrificans
Haloferax gibbonsii
Haloferax mediterranei
Haloferax sulfurifontis
Haloferax volcanii
Halogeometricum borinquense
Halolactibacillus halophilus
Halolactibacillus miurensis
Halomonas almeriensis
Halomonas aquamarina
Halomonas boliviensis
Halomonas campaniensis
Halomonas campisalis
Halomonas cupida
Halomonas desiderata
Halomonas elongata
Halomonas eurihalina
Halomonas halmophila
Halomonas halodenitrificans
Halomonas halophila
Halomonas muralis
Halomonas organivorans
Halomonas pacifica
Halomonas pantelleriensis
Halomonas salina
Halomonas variabilis
Halomonas ventosae
Halomonas venusta
Halorhabdus utahensis
Halorhodospira halophila
Halorientalis regularis
Halorubrum aidingense
Halorubrum saccharovorum
Halosimplex carlsbadense
Halostagnicola kamekurae
Halotalea alkalilenta
Haloterrigena hispanica
Haloterrigena jeotgali
Haloterrigena longa
Haloterrigena saccharevitans
Haloterrigena thermotolerans
Haloterrigena turkmenica
Halovivax asiaticus
Halovivax ruber
Helicobacter pylori
Herbaspirillum autotrophicum
Herbaspirillum chlorophenolicum
Herbaspirillum frisingense
Herbaspirillum hiltneri
Herbaspirillum huttiense
Herbaspirillum rubrisubalbicans
Herbaspirillum seropedicae
Herbiconiux ginsengi
Herbidospora cretacea
Herminiimonas aquatilis
Herminiimonas arsenicoxydans
Herminiimonas fonticola
Histophilus somni
Humibacter albus
Hydrocarboniphaga effusa
Hydrogenophaga flava
Hydrogenophaga intermedia
Hydrogenophaga pseudoflava
Hydrogenophaga taeniospiralis
Hydrogenophilus thermoluteolus
Hydrogenovibrio marinus
Hylemonella gracilis
Hymenobacter actinosclerus
Hymenobacter aerophilus
Hymenobacter chitinivorans
Hymenobacter daecheongensis
Hymenobacter deserti
Hymenobacter gelipurpurascens
Hymenobacter norwichensis
Hymenobacter ocellatus
Hymenobacter rigui
Hymenobacter roseosalivarius
Hymenobacter soli
Hyphomicrobium hollandicum
Hyphomicrobium vulgare
Ideonella dechloratans
Idiomarina abyssalis
Idiomarina baltica
Idiomarina taiwanensis
Idiomarina zobellii
Ignatzschineria larvae
Intrasporangium calvum
Intrasporangium oryzae
Iodobacter fluviatilis
Isochromatium buderi
Isoptericola hypogeus
Isoptericola variabilis
Janibacter anophelis
Janibacter melonis
Janibacter terrae
Jannaschia helgolandensis
Jannaschia seosinensis
Janthinobacterium agaricidamnosum
Janthinobacterium lividum
Jeotgalibacillus marinus
Jeotgalicoccus halotolerans
Jeotgalicoccus psychrophilus
Jiangella alba
Jonesia denitrificans
Kaistia granuli
Kaistia soli
Kangiella aquimarina
Kangiella japonica
Kangiella koreensis
Kazachstania viticola
Kerstersia gyiorum
Ketogulonicigenium robustum
Ketogulonicigenium vulgare
Kineococcus aurantiacus
Kineosporia aurantiaca
Kineosporia rhamnosa
Kineosporia rhizophila
Kineosporia succinea
Kingella denitrificans
Kingella kingae
Kitasatospora azatica
Kitasatospora phosalacinea
Kitasatospora setae
Klebsiella granulomatis
Klebsiella oxytoca
Klebsiella pneumoniae
Klebsiella variicola
Kluyvera ascorbata
Knoellia sinensis
Knoellia subterranea
Kocuria carniphila
Kocuria halotolerans
Kocuria himachalensis
Kocuria kristinae
Kocuria marina
