Hyphomicrobium vulgare=18342231
Bacillus novalis=null
Longispora albida=null
Psychroflexus tropicus=17264647
Marine clone=null
Paenibacillus azoreducens=null
Sphingomonas sanguinis=null
Halomonas ventosae=16982689
Winogradskyella epiphytica=null
Azospirillum lipoferum=null
Desulfovibrio africanus=null
Rhizobium giardinii=16989105
Halobaculum gomorrense=16982667
Subsaxibacter broadyi=null
Olleya marilimosa=null
Flavobacterium columnare=5458149
Acinetobacter calcoaceticus=4674168
Bacillus halodurans=4838967
Mesorhizobium amorphae=16985434
Halomonas halophila=null
Porphyrobacter cryptus=null
Sphingomonas koreensis=null
Pseudaminobacter defluvii=16976585
Halobacillus locisalis=null
Asaia bogorensis=16834282
Prevotella melaninogenica=null
Chryseobacterium taichungense=null
Methylomonas methanica=6824042
Rhodovibrio salinarum=null
Psychroserpens mesophilus=null
S. intermedius=null
Dokdonella koreensis=null
Modestobacter multiseptatus=null
Ahrensia kielensis=null
Azospirillum halopraeferens=16836511
Microcella putealis=null
Algoriphagus antarcticus=null
Nesterenkonia halobia=4045234
Zobellia amurskyensis=null
Kribbella koreensis=null
Halovivax asiaticus=null
Roseateles depolymerans=16937115
Megasphaera elsdenii=3853945
Parapedobacter koreensis=null
Rhodococcus equi=293148
Marinibacillus marinus=null
Paracoccus kocurii=null
Promicromonospora sukumoe=null
Geobacillus stearothermophilus=136876
Bacillus methanolicus=null
Rhodovulum robiginosum=null
Tenacibaculum skagerrakense=16992997
Methylosinus sporium=null
Albidovulum inexpectatum=null
S. griseus=null
Methylocystis echinoides=null
Mycetocola tolaasinivorans=null
Ornithobacterium rhinotracheale=1275398
Marinicola seohaensis=null
Chryseobacterium pallidum=null
Nonomuraea pusilla=null
Ensifer adhaerens=null
Sphingobium herbicidovorans=null
Hydrogenobacter thermophilus=5954973
Gulosibacter molinativorax=null
Bacillus bataviensis=null
Thermomonas fusca=null
Bacillus pseudofirmus=4838978
Tenacibaculum amylolyticum=16992990
Erythrobacter longus=16981753
Brevundimonas vesicularis=null
Bizionia algoritergicola=null
Paenibacillus kobensis=null
Mycoplana ramosa=18378592
Maribacter sedimenticola=null
Leptothrix cholodnii=16947720
Pigmentiphaga kullae=16988097
Maribacter ulvicola=null
Nocardioides insulae=null
Herbidospora cretacea=null
Hymenobacter aerophilus=null
Leptothrix mobilis=16984426
Marinimicrobium koreense=null
Oceanobacter kriegii=null
Sphingopyxis terrae=null
Nocardioides kongjuensis=null
Devosia riboflavina=5267905
Kineosporia aurantiaca=null
Aestuariibacter halophilus=16825783
Oceanicola batsensis=null
Polaribacter irgensii=16977628
Methylobacterium mesophilicum=16985611
Dolosigranulum pigrum=null
Bacillus firmus=18355968
Sphingomonas phyllosphaerae=16992661
Salinicoccus roseus=null
Sporosarcina globispora=15622272
Sphingomonas trueperi=7576788
Rhodospira trueperi=null
Algibacter lectus=null
Sanguibacter suarezii=null
Blastococcus aggregatus=null
